"American Falls			"
"Blackfoot				"
"Boise					"
"Buhl					"
"Burley					"
"Caldwell				"
"Chubbuck				"
"Coeur D'Alene			"
"Driggs					"
"Eagle					"
"Emmett					"
"Fruitland				"
"Hailey					"
"Hayden					"
"Idaho Falls				"
"Island Park				"
"Jerome					"
"Kellogg					"
"Kuna					"
"Lewiston				"
"Malad City				"
"McCall					"
"Meridian				"
"Moscow					"
"Mountain Home			"
"Mullan					"
"Nampa					"
"Payette					"
"Plummer					"
"Pocatello				"
"Post Falls				"
"Preston					"
"Rathdrum				"
"Rexburg					"
"Rigby					"
"Rupert					"
"Saint Anthony			"
"Saint Maries			"
"Sandpoint				"
"Shelley					"
"Soda Springs			"
"Twin Falls				"
"Wallace					"
"Weiser					"
"Worley					"
