"Albert Lea			"
"Alexandria			"
"Anoka				"
"Apple Valley		"
"Austin				"
"Baxter				"
"Bemidji				"
"Blaine				"
"Bloomington			"
"Brainerd			"
"Brooklyn Center		"
"Brooklyn Park		"
"Buffalo				"
"Burnsville			"
"Cambridge			"
"Champlin			"
"Chanhassen			"
"Chaska				"
"Chisholm			"
"Circle Pines		"
"Cloquet				"
"Coon Rapids			"
"Cottage Grove		"
"Crookston			"
"Dayton				"
"Detroit Lakes		"
"Duluth				"
"Eagan				"
"East Grand Forks	"
"Eden Prairie		"
"Edina				"
"Elk River			"
"Ely					"
"Eveleth				"
"Fairmont				"
"Faribault				"
"Farmington				"
"Fergus Falls			"
"Forest Lake				"
"Fridley					"
"Glencoe					"
"Grand Rapids			"
"Hastings				"
"Hibbing					"
"Hopkins					"
"Hugo					"
"Hutchinson				"
"International Falls		"
"Inver Grove Heights		"
"Kasson					"
"La Crescent				"
"Lake City				"
"Lake Elmo				"
"Lakeville				"
"Litchfield				"
"Little Falls			"
"Luverne					"
"Mankato					"
"Maple Grove				"
"Maplewood				"
"Marshall				"
"Mendota Heights			"
"Minneapolis				"
"Minnetonka				"
"Montevideo				"
"Monticello				"
"Moorhead				"
"Morris					"
"Mound					"
"New Hope				"
"New Ulm					"
"North Mankato			"
"Northfield				"
"Oakdale					"
"Orono					"
"Owatonna				"
"Pipestone				"
"Plymouth				"
"Princeton				"
"Prior Lake				"
"Red Wing				"
"Redwood Falls			"
"Richfield				"
"Robbinsdale				"
"Rochester				"
"Rosemount				"
"Roseville				"
"Saint Cloud				"
"Saint James				"
"Saint Louis Park		"
"Saint Paul				"
"Saint Paul Park			"
"Saint Peter				"
"Sartell					"
"Sauk Rapids				"
"Savage					"
"Shakopee				"
"Shoreview				"
"South Saint Paul		"
"Stewartville			"
"Stillwater				"
"Thief River Falls		"
"Virginia				"
"Wadena					"
"Waite Park				"
"Waseca					"
"West Saint Paul			"
"White Bear Lake			"
"Willmar					"
"Windom					"
"Winona					"
"Woodbury				"
"Worthington				"
