"Aberdeen					"
"Arlington					"
"Belle Fourche				"
"Black Hawk					"
"Brandon						"
"Brookings					"
"Canistota					"
"Chamberlain					"
"Custer						"
"De Smet						"
"Deadwood					"
"Dell Rapids					"
"Eagle Butte					"
"Faith						"
"Faulkton					"
"Fort Pierre					"
"Freeman						"
"Gettysburg					"
"Hill City					"
"Hot Springs					"
"Huron						"
"Interior					"
"Kadoka						"
"Keystone					"
"Kimball						"
"Madison						"
"Martin						"
"Mission						"
"Mitchell					"
"Mobridge					"
"Murdo						"
"North Sioux City			"
"Oacoma						"
"Pierre						"
"Rapid City					"
"Redfield					"
"Selby						"
"Sioux Falls					"
"Spearfish					"
"Sturgis						"
"Vermillion					"
"Wagner						"
"Wall						"
"Watertown					"
"Winner						"
"Yankton						"
