"Aberdeen					"
"Airway Heights				"
"Anacortes					"
"Arlington					"
"Auburn						"
"Battle Ground				"
"Bellevue					"
"Bellingham					"
"Blaine						"
"Bothell						"
"Bremerton					"
"Burien						"
"Burlington					"
"Camas						"
"Centralia					"
"Chehalis					"
"Chelan						"
"Cheney						"
"Clarkston					"
"College Place				"
"Colville					"
"Coupeville					"
"Deer Harbor					"
"Des Moines					"
"Dupont						"
"Eastsound					"
"Edmonds						"
"Ellensburg					"
"Enumclaw					"
"Ephrata						"
"Everett						"
"Federal Way					"
"Ferndale					"
"Friday Harbor				"
"Gig Harbor					"
"Grandview					"
"Hoquiam						"
"Issaquah					"
"Kalama						"
"Kelso						"
"Kenmore						"
"Kennewick					"
"Kent						"
"Kettle Falls				"
"Kirkland					"
"Lacey						"
"Lake Stevens				"
"Lakewood					"
"Leavenworth					"
"Liberty Lake				"
"Long Beach					"
"Longview					"
"Lynden						"
"Lynnwood					"
"Manchester					"
"Marysville					"
"Medical Lake				"
"Mercer Island				"
"Milton						"
"Monroe						"
"Moses Lake					"
"Mount Vernon				"
"Mountlake Terrace			"
"Mukilteo					"
"Oak Harbor					"
"Ocean Shores				"
"Olympia						"
"Omak						"
"Othello						"
"Pacific						"
"Pasco						"
"Port Angeles				"
"Port Ludlow					"
"Port Orchard				"
"Port Townsend				"
"Poulsbo						"
"Prosser						"
"Pullman						"
"Puyallup					"
"Quincy						"
"Redmond						"
"Renton						"
"Richland					"
"Ritzville					"
"Seabeck						"
"SeaTac						"
"Seattle						"
"Selah						"
"Sequim						"
"Shelton						"
"Silverdale					"
"Snohomish					"
"Snoqualmie					"
"Spanaway					"
"Spokane						"
"Steilacoom					"
"Stevenson					"
"Sumner						"
"Sunnyside					"
"Tacoma						"
"Toppenish					"
"Tukwila						"
"Tumwater					"
"Union Gap					"
"University Place			"
"Vancouver					"
"Veradale					"
"Walla Walla					"
"Wapato						"
"Washougal					"
"Wenatchee					"
"West Richland				"
"Winthrop					"
"Woodinville					"
"Woodland					"
"Yakima						"
"Zillah						"
